Sample,Date,Site,Year,Season,Replicate,Treatment,Site-Temperature,Mean-Temperature,Max-Temperature,Min-Temperature,picea,Visited_picea,scabrinodis,ruginodis,Myrmica,Visited_Myrmica,Lost-Sample,Eaten-Sample
Jan-2017-1-11-Protein,28/06/2017,Jan,2017,1,11,Protein,23,17.7,24.3,10.9,3,1,0,0,0,0,0,0
Jan-2017-1-12-Protein,28/06/2017,Jan,2017,1,12,Protein,23,17.7,24.3,10.9,4,1,0,0,0,0,0,0
Jan-2017-1-13-Protein,28/06/2017,Jan,2017,1,13,Protein,23,17.7,24.3,10.9,2,1,0,0,0,0,0,0
Jan-2017-1-14-Protein,28/06/2017,Jan,2017,1,14,Protein,23,17.7,24.3,10.9,8,1,0,0,0,0,0,0
Jan-2017-1-15-Protein,28/06/2017,Jan,2017,1,15,Protein,23,17.7,24.3,10.9,4,1,0,0,0,0,1,0
Jan-2017-1-1-Carbohydrate,28/06/2017,Jan,2017,1,1,Carbohydrate,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-2-Carbohydrate,28/06/2017,Jan,2017,1,2,Carbohydrate,23,17.7,24.3,10.9,2,1,0,0,0,0,0,0
Jan-2017-1-3-Carbohydrate,28/06/2017,Jan,2017,1,3,Carbohydrate,23,17.7,24.3,10.9,2,1,0,0,0,0,0,0
Jan-2017-1-4-Carbohydrate,28/06/2017,Jan,2017,1,4,Carbohydrate,23,17.7,24.3,10.9,3,1,0,0,0,0,0,0
Jan-2017-1-5-Carbohydrate,28/06/2017,Jan,2017,1,5,Carbohydrate,23,17.7,24.3,10.9,1,1,12,0,12,1,0,0
Jan-2017-1-6-Carbohydrate,28/06/2017,Jan,2017,1,6,Carbohydrate,23,17.7,24.3,10.9,3,1,0,0,0,0,0,0
Jan-2017-1-7-Carbohydrate,28/06/2017,Jan,2017,1,7,Carbohydrate,23,17.7,24.3,10.9,5,1,0,0,0,0,0,0
Jan-2017-1-8-Carbohydrate,28/06/2017,Jan,2017,1,8,Carbohydrate,23,17.7,24.3,10.9,0,0,1,0,1,1,0,0
Jan-2017-1-9-Carbohydrate,28/06/2017,Jan,2017,1,9,Carbohydrate,23,17.7,24.3,10.9,9,1,0,0,0,0,0,0
Jan-2017-1-10-Carbohydrate,28/06/2017,Jan,2017,1,10,Carbohydrate,23,17.7,24.3,10.9,0,0,1,0,1,1,0,0
Jan-2017-1-11-Carbohydrate,28/06/2017,Jan,2017,1,11,Carbohydrate,23,17.7,24.3,10.9,6,1,0,0,0,0,0,0
Jan-2017-1-12-Carbohydrate,28/06/2017,Jan,2017,1,12,Carbohydrate,23,17.7,24.3,10.9,10,1,0,0,0,0,0,0
Jan-2017-1-13-Carbohydrate,28/06/2017,Jan,2017,1,13,Carbohydrate,23,17.7,24.3,10.9,2,1,0,0,0,0,0,0
Jan-2017-1-14-Carbohydrate,28/06/2017,Jan,2017,1,14,Carbohydrate,23,17.7,24.3,10.9,2,1,0,0,0,0,0,0
Jan-2017-1-15-Carbohydrate,28/06/2017,Jan,2017,1,15,Carbohydrate,23,17.7,24.3,10.9,1,1,0,0,0,0,0,0
Jan-2017-1-1-Oil,28/06/2017,Jan,2017,1,1,Oil,23,17.7,24.3,10.9,2,1,0,0,0,0,0,0
Jan-2017-1-2-Oil,28/06/2017,Jan,2017,1,2,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-3-Oil,28/06/2017,Jan,2017,1,3,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-4-Oil,28/06/2017,Jan,2017,1,4,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-5-Oil,28/06/2017,Jan,2017,1,5,Oil,23,17.7,24.3,10.9,1,1,0,0,0,0,0,0
Jan-2017-1-6-Oil,28/06/2017,Jan,2017,1,6,Oil,23,17.7,24.3,10.9,0,0,1,0,1,1,0,0
Jan-2017-1-7-Oil,28/06/2017,Jan,2017,1,7,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-8-Oil,28/06/2017,Jan,2017,1,8,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-9-Oil,28/06/2017,Jan,2017,1,9,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-10-Oil,28/06/2017,Jan,2017,1,10,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-11-Oil,28/06/2017,Jan,2017,1,11,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-12-Oil,28/06/2017,Jan,2017,1,12,Oil,23,17.7,24.3,10.9,1,1,0,0,0,0,0,0
Jan-2017-1-13-Oil,28/06/2017,Jan,2017,1,13,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-14-Oil,28/06/2017,Jan,2017,1,14,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-15-Oil,28/06/2017,Jan,2017,1,15,Oil,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-1-Control,28/06/2017,Jan,2017,1,1,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-2-Control,28/06/2017,Jan,2017,1,2,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-3-Control,28/06/2017,Jan,2017,1,3,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-4-Control,28/06/2017,Jan,2017,1,4,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-5-Control,28/06/2017,Jan,2017,1,5,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-6-Control,28/06/2017,Jan,2017,1,6,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-7-Control,28/06/2017,Jan,2017,1,7,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-8-Control,28/06/2017,Jan,2017,1,8,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-9-Control,28/06/2017,Jan,2017,1,9,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-10-Control,28/06/2017,Jan,2017,1,10,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-11-Control,28/06/2017,Jan,2017,1,11,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-12-Control,28/06/2017,Jan,2017,1,12,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-13-Control,28/06/2017,Jan,2017,1,13,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-14-Control,28/06/2017,Jan,2017,1,14,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Jan-2017-1-15-Control,28/06/2017,Jan,2017,1,15,Control,23,17.7,24.3,10.9,0,0,0,0,0,0,0,0
Rad-2017-1-1-Protein,29/06/2017,Rad,2017,1,1,Protein,19,18.2,24.7,10.7,15,1,0,0,0,0,0,0
Rad-2017-1-2-Protein,29/06/2017,Rad,2017,1,2,Protein,19,18.2,24.7,10.7,12,1,0,0,0,0,0,0
Rad-2017-1-3-Protein,29/06/2017,Rad,2017,1,3,Protein,19,18.2,24.7,10.7,4,1,0,0,0,0,0,0
Rad-2017-1-4-Protein,29/06/2017,Rad,2017,1,4,Protein,19,18.2,24.7,10.7,3,1,0,0,0,0,0,0
Rad-2017-1-5-Protein,29/06/2017,Rad,2017,1,5,Protein,19,18.2,24.7,10.7,14,1,0,0,0,0,0,0
Rad-2017-1-6-Protein,29/06/2017,Rad,2017,1,6,Protein,19,18.2,24.7,10.7,10,1,0,0,0,0,0,0
Rad-2017-1-7-Protein,29/06/2017,Rad,2017,1,7,Protein,19,18.2,24.7,10.7,2,1,0,0,0,0,0,0
